날짜,자재코드,자재명,카테고리,단가_원,공급업체,발주수량,비고
2022-01,MAT-001,강판,금속재료,85000,A사,200,
2022-01,MAT-002,알루미늄판,금속재료,145000,B사,150,
2022-01,MAT-003,구리선,금속재료,320000,C사,80,
2022-01,MAT-004,볼베어링,구동부품,28000,A사,500,
2022-01,MAT-005,유압호스,소모품,15000,D사,300,
2022-01,MAT-006,센서모듈,전자부품,95000,B사,120,
2022-01,MAT-007,PCB기판,전자부품,75000,C사,200,
2022-01,MAT-008,냉각유,소모품,12000,D사,500,
2022-01,MAT-009,절삭유,소모품,8500,E사,600,
2022-01,MAT-010,용접봉,소모품,3200,A사,1000,
2022-01,MAT-011,특수합금,금속재료,580000,B사,50,
2022-01,MAT-012,광학렌즈,전자부품,250000,C사,30,
2022-01,MAT-013,정밀기어,구동부품,95000,D사,100,
2022-01,MAT-014,서보모터,구동부품,320000,E사,40,
2022-01,MAT-015,전력케이블,소모품,18000,A사,400,
2022-02,MAT-001,강판,금속재료,84000,A사,220,
2022-02,MAT-002,알루미늄판,금속재료,143000,B사,160,
2022-02,MAT-003,구리선,금속재료,325000,C사,75,
2022-02,MAT-004,볼베어링,구동부품,28500,A사,480,
2022-02,MAT-005,유압호스,소모품,15200,D사,280,
2022-02,MAT-006,센서모듈,전자부품,96000,B사,110,
2022-02,MAT-007,PCB기판,전자부품,74000,C사,190,
2022-02,MAT-008,냉각유,소모품,12100,D사,510,
2022-02,MAT-009,절삭유,소모품,8500,E사,580,
2022-02,MAT-010,용접봉,소모품,3200,A사,950,
2022-02,MAT-011,특수합금,금속재료,582000,B사,48,
2022-02,MAT-012,광학렌즈,전자부품,252000,C사,28,
2022-02,MAT-013,정밀기어,구동부품,96000,D사,95,
2022-02,MAT-014,서보모터,구동부품,318000,E사,42,
2022-02,MAT-015,전력케이블,소모품,18200,A사,390,
2022-03,MAT-001,강판,금속재료,86000,A사,210,
2022-03,MAT-002,알루미늄판,금속재료,146000,B사,155,
2022-03,MAT-003,구리선,금속재료,330000,C사,82,
2022-03,MAT-004,볼베어링,구동부품,28000,A사,510,
2022-03,MAT-005,유압호스,소모품,15000,D사,310,
2022-03,MAT-006,센서모듈,전자부품,95500,B사,125,
2022-03,MAT-007,PCB기판,전자부품,76000,C사,205,
2022-03,MAT-008,냉각유,소모품,12000,D사,490,
2022-03,MAT-009,절삭유,소모품,8600,E사,620,
