자재코드,자재명,카테고리,전월단가_원,당월단가_원,변동률_퍼센트,상태
MAT-001,강판,금속재료,85000,87000,2.4,정상
MAT-002,알루미늄판,금속재료,145000,178000,22.8,이상
MAT-003,구리선,금속재료,320000,312000,-2.5,정상
MAT-004,볼베어링,구동부품,28000,29500,5.4,정상
MAT-005,유압호스,소모품,15000,18200,21.3,이상
MAT-006,센서모듈,전자부품,95000,102000,7.4,정상
MAT-007,PCB기판,전자부품,75000,85500,14.0,주의
MAT-008,냉각유,소모품,12000,12300,2.5,정상
MAT-009,절삭유,소모품,8500,8500,0.0,정상
MAT-010,스테인리스판,금속재료,210000,258300,23.0,이상
MAT-011,오링,소모품,3500,3600,2.9,정상
MAT-012,솔레노이드밸브,구동부품,65000,73800,13.5,주의
MAT-013,모터드라이버,전자부품,155000,148000,-4.5,정상
MAT-014,에어필터,소모품,9500,9800,3.2,정상
MAT-015,타이밍벨트,구동부품,42000,48500,15.5,주의
MAT-016,텅스텐전극,소모품,88000,110000,25.0,이상
MAT-017,리니어가이드,구동부품,125000,129000,3.2,정상
MAT-018,그리스,소모품,7200,7400,2.8,정상
MAT-019,에폭시접착제,소모품,35000,38500,10.0,주의
MAT-020,고무패킹,소모품,4200,4100,-2.4,정상
MAT-021,연결단자블록,전자부품,12000,13800,15.0,주의
MAT-022,유리섬유판,비금속재료,58000,68300,17.8,주의
MAT-023,티타늄볼트,금속재료,2800,3640,30.0,이상
MAT-024,공압실린더,구동부품,95000,96000,1.1,정상
MAT-025,산업용케이블,전자부품,22000,22500,2.3,정상
MAT-026,폴리우레탄폼,비금속재료,18500,19000,2.7,정상
MAT-027,나노코팅제,소모품,145000,180000,24.1,이상
MAT-028,스프링핀,구동부품,1500,1600,6.7,정상
MAT-029,열수축튜브,소모품,6800,7200,5.9,정상
MAT-030,탄소섬유시트,비금속재료,380000,396000,4.2,정상
