날짜,장비ID,장비명,설치위치,이상유형,담당자,수리시간_시간,부품교체여부,비용_원,비고
2022-01-05,EQ-001,CNC선반1호,생산1동,전원불안정,김철수,1.5,N,80000,정기점검 중 발견
2022-01-07,EQ-003,레이저절단기,생산2동,베어링마모,이영희,4.0,Y,450000,반복 발생
2022-01-12,EQ-015,용접로봇B,조립동,모터과열,박민준,3.0,N,220000,
2022-01-18,EQ-007,유압프레스,생산1동,유압계통이상,최수진,5.5,Y,680000,
2022-01-22,EQ-003,레이저절단기,생산2동,센서오류,이영희,2.0,N,150000,반복 발생
2022-01-28,EQ-010,정밀드릴링머신,연구동,진동이상,정대한,1.0,N,90000,
2022-02-03,EQ-005,CNC밀링1호,생산1동,윤활부족,김철수,0.5,N,60000,
2022-02-09,EQ-015,용접로봇B,조립동,베어링마모,박민준,6.0,Y,520000,반복 문제
2022-02-14,EQ-003,레이저절단기,생산2동,냉각계통이상,이영희,3.5,N,280000,
2022-02-19,EQ-008,표면연삭기,생산2동,소음증가,최수진,1.5,N,110000,
2022-02-24,EQ-012,CNC선반2호,생산3동,전원불안정,정대한,2.0,N,130000,겨울철 전력 불안정
2022-03-02,EQ-001,CNC선반1호,생산1동,베어링마모,김철수,4.5,Y,390000,
2022-03-08,EQ-003,레이저절단기,생산2동,센서오류,이영희,1.5,N,140000,
2022-03-15,EQ-019,로봇아암A,조립동,모터과열,박민준,2.5,N,200000,
2022-03-21,EQ-015,용접로봇B,조립동,진동이상,박민준,3.0,N,250000,
2022-03-27,EQ-006,레이저용접기,생산2동,냉각계통이상,최수진,4.0,Y,460000,
2022-04-04,EQ-003,레이저절단기,생산2동,베어링마모,이영희,5.0,Y,510000,반복 발생
2022-04-11,EQ-011,정밀측정기,연구동,센서오류,정대한,1.0,N,95000,
2022-04-18,EQ-015,용접로봇B,조립동,소음증가,박민준,2.0,N,180000,
2022-04-25,EQ-002,CNC밀링2호,생산1동,윤활부족,김철수,0.5,N,55000,
2022-05-03,EQ-003,레이저절단기,생산2동,모터과열,이영희,3.0,N,260000,
2022-05-10,EQ-009,자동조립기,조립동,진동이상,최수진,2.5,N,215000,
2022-05-17,EQ-015,용접로봇B,조립동,베어링마모,박민준,5.5,Y,590000,반복 문제
2022-05-24,EQ-004,열처리로,생산3동,전원불안정,정대한,1.5,N,120000,
2022-06-01,EQ-003,레이저절단기,생산2동,냉각계통이상,이영희,4.5,Y,480000,여름철 냉각 부하 증가
2022-06-08,EQ-001,CNC선반1호,생산1동,소음증가,김철수,1.0,N,85000,
2022-06-14,EQ-015,용접로봇B,조립동,모터과열,박민준,3.5,Y,320000,여름철 과열
2022-06-20,EQ-016,고압세척기,생산1동,냉각계통이상,최수진,2.0,N,190000,여름철 냉각 이상
2022-06-27,EQ-003,레이저절단기,생산2동,모터과열,이영희,4.0,Y,420000,여름 고부하
2022-07-05,EQ-015,용접로봇B,조립동,모터과열,박민준,5.0,Y,550000,여름철 반복
2022-07-12,EQ-003,레이저절단기,생산2동,냉각계통이상,이영희,3.5,N,290000,여름철 냉각 부하
2022-07-19,EQ-013,CNC선반3호,생산3동,베어링마모,정대한,3.0,Y,340000,
2022-07-26,EQ-007,유압프레스,생산1동,유압계통이상,김철수,4.0,Y,470000,
2022-08-02,EQ-003,레이저절단기,생산2동,모터과열,이영희,4.5,Y,500000,최고온도 기록
2022-08-09,EQ-015,용접로봇B,조립동,냉각계통이상,박민준,3.0,N,270000,
2022-08-16,EQ-018,자동도장기,생산2동,센서오류,최수진,2.0,N,165000,
2022-08-23,EQ-003,레이저절단기,생산2동,진동이상,이영희,2.5,N,220000,
2022-08-30,EQ-005,CNC밀링1호,생산1동,윤활부족,김철수,0.5,N,58000,
2022-09-06,EQ-015,용접로봇B,조립동,베어링마모,박민준,5.0,Y,530000,
2022-09-13,EQ-003,레이저절단기,생산2동,센서오류,이영희,1.5,N,130000,
2022-09-20,EQ-014,정밀연삭기,연구동,소음증가,정대한,1.0,N,92000,
2022-09-27,EQ-001,CNC선반1호,생산1동,모터과열,김철수,2.5,N,195000,
2022-10-04,EQ-003,레이저절단기,생산2동,베어링마모,이영희,4.0,Y,430000,반복 발생
2022-10-11,EQ-015,용접로봇B,조립동,진동이상,박민준,2.0,N,175000,
